packet_no,source_ip,destination_ip,protocol,payload
1,13:44:03,20.189.173.6,192.168.31.131,TCP,No payload
2,13:44:04,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
3,13:44:04,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
4,13:44:05,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
5,13:44:10,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
6,13:44:10,148.113.8.206,192.168.31.131,TCP,No payload
7,13:44:10,192.168.31.131,148.113.8.206,TCP,No payload
8,13:44:10,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
9,13:44:10,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
10,13:44:11,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
11,13:44:11,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
12,13:44:12,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
13,13:44:12,148.113.8.206,192.168.31.131,TCP,No payload
14,13:44:16,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
15,13:44:16,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
16,13:44:17,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
17,13:44:20,192.168.31.131,185.199.110.133,TCP,Binary/Encrypted Data
18,13:44:20,185.199.110.133,192.168.31.131,TCP,No payload
19,13:44:22,148.113.8.206,192.168.31.131,TCP,No payload
20,13:44:22,192.168.31.131,148.113.8.206,TCP,No payload
21,13:44:22,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
22,13:44:22,148.113.8.206,192.168.31.131,TCP,No payload
23,13:44:22,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
24,13:44:22,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
25,13:44:23,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
26,13:44:28,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
27,13:44:28,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
28,13:44:29,192.168.31.131,20.189.173.16,TCP,No payload
29,13:44:29,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
30,13:44:29,20.189.173.16,192.168.31.131,TCP,No payload
31,13:44:29,192.168.31.131,20.189.173.16,TCP,No payload
32,13:44:29,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
33,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
34,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
35,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
36,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
37,13:44:29,192.168.31.131,20.189.173.16,TCP,No payload
38,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
39,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
40,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
41,13:44:29,192.168.31.131,20.189.173.16,TCP,No payload
42,13:44:29,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
43,13:44:29,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
44,13:44:29,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
45,13:44:29,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
46,13:44:29,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
47,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
48,13:44:29,192.168.31.131,20.189.173.16,TCP,No payload
49,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
50,13:44:29,20.189.173.16,192.168.31.131,TCP,No payload
51,13:44:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
